ManufacturerId,Model,YearMin,YearMax,Crew,Pax,Airworthiness,GearType,EngineCount,OPW,RiskGroup,HullMod,LiabilityMod,UderwriterLevel
657,CHINOOK (EXP),1980,2013,1,1,13,11,1,1,1,0,0,1
658,BABY ACE (EXP),1960,2013,1,0,13,11,1,1,1,0,0,1
658,JUNIOR ACE (EXP),1960,2013,1,1,13,11,1,1,1,0,0,1
659,CUBY I (EXP),1960,2013,1,0,13,11,1,1,1,0,0,1
659,CUBY II (EXP),1960,2013,1,1,13,11,1,1,1,0,0,1
660,I (EXP),1960,2013,1,0,13,11,1,1,1,0,0,1
660,II (EXP),1960,2013,1,1,13,11,1,1,1,0,0,1
660,NESMITH COUGAR (EXP),1960,2013,1,1,13,11,1,1,1,0,0,1
660,POBER JR. ACE (EXP),1960,2013,1,1,13,11,1,1,1,0,0,1
660,POBER SUPER ACE (EXP),1960,2013,1,0,13,11,1,1,1,0,0,1
661,FALCON,1970,2000,1,0,10,14,1,1,1,0.2,0.2,1
661,SPRIT,1990,2000,1,0,10,14,1,1,1,0.2,0.2,1
662,PEGASO M-100S,1938,2000,1,0,10,14,1,1,1,0.2,0.2,1
663,PULSAR II (EXP),1960,2013,1,1,13,10,1,1,1,0,0,1
664,AVENTURA 2 (EXP),1995,2013,1,1,13,18,1,1,1,0,0,1
665,ZUNI,1940,2000,1,0,10,14,1,1,1,0.2,0.2,1
666,AMT-100 XIMANGO,1987,2009,1,1,10,14,1,1,1,0.2,0.2,1
666,AMT-200 XIMANGO,1989,2009,1,1,10,14,1,1,1,0.2,0.2,1
666,AMT-300 XIMANGO,2000,2009,1,1,10,14,1,1,1,0.2,0.2,1
667,11,1939,1950,1,1,10,11,1,7,1,0,0,1
667,15,1947,1951,1,3,10,11,1,7,1,0,0,1
667,65,1936,1946,1,1,10,11,1,7,1,0,0,1
667,7,1940,1959,1,1,10,11,1,7,1,0,0,1
667,C3,1931,1937,1,1,10,11,1,7,1,0,0,1
667,L3,1940,1945,1,1,10,11,1,7,1,0,0,1
668,AEROTREK A220 TW (SLSA),2004,2013,1,1,22,11,1,3,1,0,0,1
668,AEROTREK A240 TRI (SLSA),2004,2013,1,1,22,10,1,2,1,0,0,1
668,EUROFOX TRI(SLSA),1980,2013,1,1,22,10,1,2,1,0,0,1
669,313B ALOUETTE II,1957,1963,1,4,10,19,1,22,1,0.35,0.35,1
669,315B LAMA,1972,1989,1,4,10,19,1,22,1,0,0,1
669,316B/319B ALOUETTE III,1970,1976,1,6,10,19,1,23,1,0.35,0.35,1
669,318C ALOUETTE II,1970,1975,1,4,10,19,1,22,1,0,0,1
669,318C ALOUETTE II,1964,1969,1,4,10,19,1,22,1,0.35,0.35,1
669,341G GAZELLE,1972,1978,1,4,10,19,1,22,1,0,0,1
670,WT9 DYNAMIC TRI (SLSA),1980,2013,1,1,22,10,1,2,1,0,0,1
671,BREEZER TRI (SLSA),2000,2013,1,1,22,10,1,2,1,0,0,1
671,C42 IKARUS TRI (SLSA),2000,2013,1,1,22,10,1,2,1,0,0,1
672,FESTIVAL TRI(SLSA),1980,2013,1,1,22,10,1,2,1,0,0,1
673,VIVAT L-13,1940,2000,1,1,10,14,1,1,1,0.2,0.2,1
673,Z-226T (EXP),1960,2013,1,1,13,11,1,1,1,0,0,1
674,A220 TW (SLSA),2006,2012,1,1,22,11,1,2,1,0,0,1
674,A240 TRI (SLSA),2006,2012,1,1,22,10,1,2,1,0,0,1
675,A109,1976,1987,1,7,10,19,1,23,1,0.2,0.2,1
675,A109,1988,1996,1,7,10,19,1,23,1,0.2,0.2,1
675,A109,1997,2004,1,7,10,19,1,23,1,0.2,0.2,1
676,18A,1960,1975,1,1,10,19,1,1,1,0,0,1
677,COMMANDER 2 SEAT (EXP),1960,2013,1,1,13,19,1,1,1,0,0,1
677,COMMANDER ELITE (EXP),1960,2013,1,0,13,19,1,1,1,0,0,1
678,F-1,1937,1967,1,1,10,10,1,4,1,0,0,1
678,F-1 / A2 / 415,1937,1967,1,1,10,10,1,4,1,0,0,1
679,SPORTSTER (EXP),1960,2013,1,1,13,19,1,1,1,0,0,1
680,DR107 (EXP),1960,2013,1,0,13,11,1,1,1,0.6,0.6,1
680,DR109 (EXP),1960,2013,1,1,13,11,1,1,1,0.6,0.6,1
681,GILES G200 (EXP),1960,2013,1,0,13,11,1,1,1,0.6,0.6,1
681,GILES G202 (EXP),1960,2013,1,1,13,11,1,1,1,0.6,0.6,1
682,APIS M (MOTOR),1997,2002,1,0,10,14,1,1,1,0.2,0.2,1
682,APIS WR/15M,1997,2002,1,0,10,14,1,1,1,0.2,0.2,1
683,SILENT,1994,2002,1,0,10,14,1,1,1,0.2,0.2,1
683,SILENT - IN,1996,2003,1,0,10,14,1,1,1,0.2,0.2,1
683,SILENT 2,2003,2009,1,0,10,14,1,1,1,0.2,0.2,1
684,SZD 51-1 JUNIOR,1990,2004,1,0,10,14,1,1,1,0.2,0.2,1
685,A2,1937,1967,1,1,10,10,1,4,1,0,0,1
